X,y
-100.0,5005.166972661835
-99.89994997498749,4985.4723381863005
-99.79989994997499,4967.059296345775
-99.69984992496248,4948.685750676507
-99.59979989994997,4977.197186811495
-99.49974987493746,4951.077862983465
-99.39969984992496,4925.170123174869
-99.29964982491245,4919.58394664776
-99.19959979989996,4891.12822100389
-99.09954977488745,4918.789531972343
-98.99949974987494,4882.134681273459
-98.89944972486244,4905.711543564656
-98.79939969984993,4865.531068478609
-98.69934967483742,4860.687735221123
-98.59929964982491,4853.412928510522
-98.4992496248124,4842.333471213216
-98.3991995997999,4840.429213453336
-98.29914957478739,4848.830790944105
-98.19909954977489,4827.665301725732
-98.09904952476238,4800.286916863948
-97.99899949974987,4807.853143930533
-97.89894947473736,4813.346848549538
-97.79889944972486,4767.654621593653
-97.69884942471235,4748.62396100219
-97.59879939969986,4744.3108922418705
-97.49874937468735,4758.267629422055
-97.39869934967484,4740.955549274176
-97.29864932466234,4726.632085180691
-97.19859929964983,4725.604242866071
-97.09854927463732,4718.549699541959
-96.99849924962481,4678.526102952191
-96.8984492246123,4686.01635843577
-96.7983991995998,4686.183909721858
-96.69834917458729,4676.8092327135555
-96.59829914957479,4659.743036511965
-96.49824912456228,4647.263374963819
-96.39819909954977,4634.226795296869
-96.29814907453726,4634.943285195456
-96.19809904952476,4605.458914844792
-96.09804902451225,4611.88616355962
-95.99799899949976,4609.77705005597
-95.89794897448725,4593.036133092499
-95.79789894947474,4577.689162456406
-95.69784892446224,4571.344048966003
-95.59779889944973,4569.441834786658
-95.49774887443722,4546.795468290894
-95.39769884942471,4556.397826828961
-95.2976488244122,4534.296204113163
-95.1975987993997,4536.681657187144
-95.09754877438719,4532.335345262793
-94.99749874937469,4526.827387674761
-94.89744872436218,4486.054409426137
-94.79739869934967,4479.115860058148
-94.69734867433716,4467.886878833015
-94.59729864932466,4470.547878507902
-94.49724862431216,4468.312318426659
-94.39719859929966,4441.285613850516
-94.29714857428715,4438.731012751213
-94.19709854927464,4427.885832039963
-94.09704852426214,4433.947014244288
-93.99699849924963,4406.763022629483
-93.89694847423712,4403.7566630993015
-93.79689844922461,4380.618438124878
-93.6968484242121,4354.212941892929
-93.5967983991996,4376.52406956297
-93.49674837418709,4372.172097581728
-93.39669834917459,4362.055781278264
-93.29664832416208,4347.515376159214
-93.19659829914957,4327.666955834715
-93.09654827413706,4335.222110452434
-92.99649824912456,4319.380283022794
-92.89644822411205,4317.515856974209
-92.79639819909956,4291.9499304309775
-92.69634817408705,4285.853152473051
-92.59629814907454,4287.520065274151
-92.49624812406203,4284.657382887914
-92.39619809904953,4260.688853746816
-92.29614807403702,4236.992756181851
-92.19609804902451,4241.57584573911
-92.096048024012,4235.238055653559
-91.9959979989995,4208.719237150152
-91.89594797398699,4208.314776387146
-91.79589794897448,4213.052768819818
-91.69584792396198,4191.246970361874
-91.59579789894947,4182.295078567852
-91.49574787393696,4185.687512530206
-91.39569784892447,4174.599784134229
-91.29564782391196,4171.897908508269
-91.19559779889946,4135.588391742574
-91.09554777388695,4138.397401314298
-90.99549774887444,4132.487339815739
-90.89544772386193,4126.967728729002
-90.79539769884943,4110.40909952853
-90.69534767383692,4106.894136556745
-90.59529764882441,4096.974441559746
-90.4952476238119,4095.209619946226
-90.3951975987994,4098.289082990491
-90.29514757378689,4077.125480626814
-90.19509754877438,4082.7219372404534
-90.09504752376188,4060.2708441112545
-89.99499749874937,4046.284869080993
-89.89494747373686,4022.7631813646667
-89.79489744872436,4027.8151801199597
-89.69484742371185,4026.3596614223434
-89.59479739869936,4015.6082688513557
-89.49474737368685,4015.5803378686733
-89.39469734867434,3990.198728980277
